Label,Id,Format,Profile,Title,Author,Japanese Publisher,American Publisher,Year,Language,Genre,Subject,Section
p. 1,"https://iiif-images.library.upenn.edu/iiif/2/6383e8e4-36fc-4a26-8743-211c751d01ac/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Binding
p. 2,"https://iiif-images.library.upenn.edu/iiif/2/779d2fa2-9660-4d51-97df-79b0bef58151/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Cover
p. 3,"https://iiif-images.library.upenn.edu/iiif/2/f5d2ba42-5828-4a75-8ad9-fd79255f03a3/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 4,"https://iiif-images.library.upenn.edu/iiif/2/a2696a96-405f-4d6d-af8a-6ffbee5eb386/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 5,"https://iiif-images.library.upenn.edu/iiif/2/91351a2f-00f8-4684-9bd6-461ccd6dd01d/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 6,"https://iiif-images.library.upenn.edu/iiif/2/57faf271-633b-40c4-bd51-5c9605d37120/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 7,"https://iiif-images.library.upenn.edu/iiif/2/b8a045af-b393-463e-b453-fa8e32406382/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 8,"https://iiif-images.library.upenn.edu/iiif/2/02829480-c8e2-4237-bb17-4593ec04da65/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 9,"https://iiif-images.library.upenn.edu/iiif/2/f990eea5-c6dc-4053-8b19-a01c6ff146aa/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Story
p. 10,"https://iiif-images.library.upenn.edu/iiif/2/78e03c1e-3786-4fb2-92d7-f52871471abe/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Back Matter
p. 11,"https://iiif-images.library.upenn.edu/iiif/2/0c753f06-c12f-44eb-bf61-7cafdc4d9539/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Binding
p. 12,"https://iiif-images.library.upenn.edu/iiif/2/7b824c45-37fa-4a28-b9ce-02e9e2d6f252/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Binding
p. 13,"https://iiif-images.library.upenn.edu/iiif/2/9a99adb6-0042-4eb7-b16c-f78267277402/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Binding
p. 14,"https://iiif-images.library.upenn.edu/iiif/2/3dd629cb-15e4-4d61-a542-76629ea27365/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Binding
p. 15,"https://iiif-images.library.upenn.edu/iiif/2/b60a275e-6edb-439d-9a3e-714a279ffb48/full/!200,200/0/default.jpg",image/jpeg,http://iiif.io/api/image/2/level2.json,The Hunter in Fairy Land,Basil Hall Chamberlain,"Kobunsha, Tokyo","Ticknor & Co., Boston",1887,English,Forklore,Ainu,Binding
